Nom;continent;Latitude;Longitude
Angola;Afrique;-12,5;18,5
Benin;Afrique;9,5;2,25
Botswana;Afrique;-22;24
Burkina-Faso;Afrique;13;-2
Burundi;Afrique;-3,5;30
Cameroon;Afrique;6;12
Cape-Verde;Afrique;16;-24
Chad;Afrique;15;19
Comoros;Afrique;-12,17;44,25
Djibouti;Afrique;11,5;43
Egypt;Afrique;27;30
Eritrea;Afrique;15;39
Ethiopia;Afrique;8;38
Gabon;Afrique;-1;11,75
Gambia;Afrique;13,47;-16,57
Ghana;Afrique;8;-2
Guinea;Afrique;11;-10
Guinea-Bissau;Afrique;12;-15
Kenya;Afrique;1;38
Lesotho;Afrique;-29,5;28,5
Liberia;Afrique;6,5;-9,5
Libyan_Arab_Jamahiriya;Afrique;25;17
Madagascar;Afrique;-20;47
Malawi;Afrique;-13,5;34
Mali;Afrique;17;-4
Mauritania;Afrique;20;-12
Mozambique;Afrique;-18,25;35
Namibia;Afrique;-22;17
Niger;Afrique;16;8
Nigeria;Afrique;10;8
Rwanda;Afrique;-2;30
Seychelles;Afrique;-4,58;55,67
Sierra_Leone;Afrique;8,5;-11,5
Somalia;Afrique;10;49
South_Africa;Afrique;-29;24
Sudan;Afrique;15;30
Tanzania;Afrique;-6;35
Togo;Afrique;8;1,17
Tunisia;Afrique;34;9
Zambia;Afrique;-15;30
Zimbabwe;Afrique;-20;30
Antigua;Amerique;17,05;-61,8
Argentina;Amerique;-34;-64
Bahamas;Amerique;24,25;-76
Barbados;Amerique;13,17;-59,53
Belize;Amerique;17,25;-88,75
Bolivia;Amerique;-17;-65
Brazil;Amerique;-10;-55
Canada;Amerique;60;-95
Chile;Amerique;-30;-71
Colombia;Amerique;4;-72
Cuba;Amerique;21,5;-80
Dominica;Amerique;15,42;-61,33
Ecuador;Amerique;-2;-77,5
Grenada;Amerique;12,12;-61,67
Guatemala;Amerique;15,5;-90,25
Guyana;Amerique;5;-59
Haiti;Amerique;19;-72,42
Honduras;Amerique;15;-86,5
Jamaica;Amerique;18,25;-77,5
Mexico;Amerique;23;-102
Nicaragua;Amerique;13;-85
Panama;Amerique;9;-80
Paraguay;Amerique;-23;-58
Peru;Amerique;-10;-76
Suriname;Amerique;4;-56
Trinidad;Amerique;11;-61
Uganda;Amerique;1;32
Venezuela;Amerique;8;-66
Afghanistan;Asia;33;65
Armenia;Asia;40;45
Azerbaijan;Asia;40,5;47,5
Bahrain;Asia;25;50,55
Bangladesh;Asia;24;90
Cambodia;Asia;13;105
China;Asia;35;105
Georgia;Asia;42;43,5
India;Asia;20;77
Indonesia;Asia;-5;120
Iran;Asia;32;53
Iraq;Asia;33;44
Israel;Asia;31,5;34,75
Japan;Asia;36;138
Jordan;Asia;31;36
Kazakhstan;Asia;48;68
Kuwait;Asia;29,34;47,66
Lebanon;Asia;33,83;35,83
Malaysia;Asia;2,5;112,5
Maldives;Asia;3,25;73
Mongolia;Asia;46;105
Nepal;Asia;28;84
Oman;Asia;21;57
Pakistan;Asia;30;70
Palestinian_Territory;Asia;32;35,25
Philippines;Asia;13;122
Saudi_Arabia;Asia;25;45
United_Arab_Emirates;Asia;24;54
Fiji;Oceanie;-18;175
Kiribati;Oceanie;1,42;173
Nauru;Oceanie;-0,53;166,92
New_Zealand;Oceanie;-41;174
Palau;Oceanie;7,5;134,5
Samoa;Oceanie;-13,58;-172,33
Tonga;Oceanie;-20;-175
Tuvalu;Oceanie;-8;178
Vanuatu;Oceanie;-16;167
Italie;Europe;41.87;12.56
Espagne;Europe;39.32;-4.83
Portugal;Europe;40.03;-7.88
France;Europe;46.60;1.88
Grèce;Europe;39.31;21.18
Suisse;Europe;46.79;8.23
Allemagne;Europe;50.64;11.26
Morocco;Afrique;32;-5
Australia;Oceanie;-27;133
Algeria;Afrique;28;3
Senegal;Afrique;14;-14
Saudi Arabia;Asie;25;45


